ID,Age,Sex,IQ,Height,Died,start_date,Scoring,Smoker,Grade_1,Grade_2,Grade_3,Item_1,Item_2,Item_3,Item_4,Sentence,Language_1,Language_2,State
00001,23,Female,113,72,TRUE,2007-04-23,-0.8707970450113975,FALSE,86.5,93.8,92.5,3,3,1,5,I will stand with Israel if they are attacked.,Sylheti,Ilokano,California
00002,24,Male,102,74,FALSE,2008-10-24,-1.7966029968601707,FALSE,84.4,85.9,85.3,1,1,1,3,They're willing to work with us.,Punjabi,Gujarati,Michigan
00003,25,Male,113,68,TRUE,2009-04-05,0.6793120996851513,FALSE,85.1,86.4,85.2,3,2,4,5,We we had to go into Pakistan.,German,English,California
00004,26,Male,100,66,FALSE,2010-12-28,-1.8143427940397974,TRUE,88.7,93.8,84.6,5,4,2,4,That's not the kind of advocacy that women need.,Cantonese,Spanish,Massachusetts
00005,29,Female,107,68,FALSE,2011-04-29,-0.7598406003971424,FALSE,89.7,94.4,88.9,2,2,3,3,We've opened up public lands.,Portuguese,Haitian Creole,Ohio
00006,20,Female,104,64,FALSE,2010-08-06,1.496408105741163,FALSE,86.5,86.5,86.8,3,2,4,2,"We're a nation that believes in the Second Amendment, and I believe in the Second Amendment.",Mossi,Spanish,Arizona
00007,21,Male,92,74,TRUE,2011-12-15,-1.0519842191540365,TRUE,89.7,88.3,87.9,4,1,3,2,Nothing could be further from the truth.,Somali,Polish,Oregon
00008,31,Male,82,68,FALSE,2007-08-09,-1.2254743523849425,FALSE,90.9,91.8,84.6,4,5,2,1,And that's because we've become weaker in each of those four|,Sylheti,English,New York
00009,22,Female,108,65,FALSE,2008-03-09,-0.897967319459697,FALSE,89.6,85,80.3,3,4,2,1,the choice in this election is going to be whose promises are going to be more likely to help you in your life?,English,Quechua,North Carolina
00010,22,Male,85,69,TRUE,2008-10-19,-0.437520805624841,TRUE,91.7,91.1,95.8,2,1,4,3,"We we have, with our partners in the region, we have sufficient resources to support those groups.",Mossi,Polish,Massachusetts
00011,31,Female,89,74,TRUE,2010-06-13,0.24142397115722253,FALSE,88.6,86.3,86.2,1,2,1,2,But what I've also said is we can't just produce traditional source of energy.,Swahili,English,Nevada
00012,32,Female,110,67,TRUE,2010-02-19,0.8538657083680756,FALSE,84.5,83.3,89.4,3,3,1,1,"I met a young woman in in Philadelphia who's coming out of out of college, can't find work.",Hindi,Spanish,Arizona
00013,25,Female,93,73,FALSE,2011-01-25,0.26778477319252997,FALSE,92.5,84,91.1,2,5,3,2,"Now with respect to what we've done with China already, U.",Bengali,Wu,Tennessee
00014,26,Female,111,73,FALSE,2008-11-23,0.24677848396789331,FALSE,82.8,89.9,89.6,3,3,3,3,"And Governor, let's before we get into a|",Hakka,Spanish,Georgia
00015,25,Female,109,64,FALSE,2009-07-03,-0.8472768485522748,FALSE,87.4,83.5,88.5,1,3,4,5,"People around the world with accredited degrees in science and math get a green card stapled to their diploma, come to the U.",Belarusian,Arabic,Ohio
